FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;UNIT; ;A;1022/057;1-30;X
;TASKED UNIT DESIGNATOR;TUD;B;2143/007;3-15;ANS
2 M;POSITION OR POINT NAME;NAME;A;1022/018;1-20;X
;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT;BD;B;2016/001;6-46;X
;GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;C;2022/001;7;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;D;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;E;2024/001;15;AN
;GEOGRAPHIC POSITION, UTM 1,000-METRE; ;F;2088/001;9;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;G;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;H;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE; ;I;2089/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;J;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;K;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;L;2020/001;10;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;M;2018/001;12;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;N;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;O;2044/001;18;ANS
;BEARING AND DISTANCE FROM REFERENCE POINT; ;P;2157/001;9-54;X
;PORT CODE; ;Q;1182/001;3;A
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;R;2200/001;22;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;S;2201/001;22;ANS
;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT;VBDRP;T;2202/001;11-36;X
;Q-ROUTE POSITION;POSIT;U;2203/001;7-13;ANS
;VERIFIED BEARING AND DISTANCE;VBD;V;2204/001;9-16;ANS
;POSITION, TRUE BEARING AND RANGE IN NM; ;W;2281/001;7-20;X
3 M;DAY-TIME OF POSITION; ;A;2000/018;7;AN
;DAY-TIME OF POSITION, VERIFIED; ;B;2013/007;8;AN
4 O;FRIENDLY FORCE COURSE (TRUE) AND SPEED (KNOTS); ;A;2037/003;8-10;ANS
;COURSE AND APPROXIMATE SPEED; ;B;2270/001;7-8;AN
5 O;FLAG; ; ;1026/003;2;A
6 O;DISCRETE IDENTIFIER; ; ;1625/025;4;N
