FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;RELATIVE TIME AT POSITION;RTIME;A;2482/002;6;ANS
;DAY-TIME OF POSITION;DTIME;B;2000/018;7;AN
;DAY-TIME, VERIFIED;VTIME;C;2013/001;8;AN
2 M;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;A;2024/001;15;AN
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;B;2200/001;22;ANS
;POSITION, TRUE BEARING AND RANGE IN NM;BAR;C;2281/001;7-20;X
;GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;AUTMT;D;2128/001;10;AN
;GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE;AUTMO;E;2126/001;8;AN
3 M;GEODETIC DATUM; ; ;1195/001;3-25;X
4 O;METHOD OF MARKING FRIENDLY POSITIONS; ; ;1613/002;5-6;A
5 C;COLOUR; ; ;1138/001;3-6;A
