FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GROUNDSITE NAME;GSNM;A;1022/208;1-20;X
;GROUNDSITE CALL SIGN;GSCS;B;1129/015;1-38;X
;AIRCRAFT CALL SIGN; ;C;1129/009;1-38;X
2 M;AIRCRAFT SEQUENTIAL IDENTIFIER; ;A;1246/026;3;A
;GROUNDSITE NUMBER; ;B;1012/225;2-5;AN
;AIRCRAFT IJMS TERMINAL NUMBER; ;C;1012/158;2-3;AN
3 M;MAIN IJMS NET NUMBER; ; ;1012/159;3;N
4 M;P-MESSAGE TIME SLOT; ; ;2372/001;8;N
5 O;TIME SLOT; ; ;2373/001;8;N
6 O;TIME SLOT; ; ;2373/001;8;N
7 O;TIME SLOT; ; ;2373/001;8;N
8 C;NET ENTRY TIME SLOT; ; ;2373/007;8;N
9 M;ECM RESISTANT VOICE(ERV) NET NUMBER; ; ;1012/160;3;N
10 M;ECM RESISTANT VOICE (ERV) CHANNEL NUMBER; ; ;1012/161;3;AN
