FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GROUNDSITE NAME;GSNM;A;1022/208;1-20;X
;GROUNDSITE CALL SIGN;GSCS;B;1129/015;1-38;X
;AIRCRAFT CALL SIGN; ;C;1129/009;1-38;X
2 M;AIRCRAFT SEQUENTIAL IDENTIFIER; ;A;1246/026;3;A
;GROUNDSITE NUMBER; ;B;1012/225;2-5;AN
3 M;LINK DATA EXCHANGE INDICATOR; ; ;1636/001;1;N
4 M;GROUNDSITE NAME;GSNM;A;1022/208;1-20;X
;GROUNDSITE CALL SIGN;GSCS;B;1129/015;1-38;X
;AIRCRAFT CALL SIGN; ;C;1129/009;1-38;X
5 M;AIRCRAFT SEQUENTIAL IDENTIFIER; ;A;1246/026;3;A
;GROUNDSITE NUMBER; ;B;1012/225;2-5;AN
6 M;MULTINET RECEIVE NET NUMBER; ; ;1012/162;3;N
7 M;FIRST SYNCHRONISATION RECEIVE TIME SLOT; ; ;2373/003;8;N
8 O;SECOND SYNCHRONISATION RECEIVE TIME SLOT; ; ;2373/005;8;N
9 O;THIRD SYNCHRONISATION RECEIVE TIME SLOT; ; ;2373/006;8;N
