FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;RELAY GROUNDSITE NAME;RGSNM;A;1022/207;1-20;X
;RELAY GROUNDSITE CALL SIGN;RGSCS;B;1129/017;1-38;X
;RELAY AIRCRAFT CALL SIGN; ;C;1129/016;1-38;X
2 M;LINK RELAY MODE; ; ;1593/009;1;N
3 M;GROUNDSITE NAME;GSNM;A;1022/208;1-20;X
;GROUNDSITE CALL SIGN;GSCS;B;1129/015;1-38;X
;AIRCRAFT CALL SIGN; ;C;1129/009;1-38;X
4 M;GROUNDSITE NAME;GSNM;A;1022/208;1-20;X
;GROUNDSITE CALL SIGN;GSCS;B;1129/015;1-38;X
;AIRCRAFT CALL SIGN; ;C;1129/009;1-38;X
5 M;LINK RELAY TYPE; ; ;1637/001;1-2;AN
6 M;ECM RESISTANT VOICE (ERV) RELAY DELAY IN TIME SLOTS; ; ;1044/230;1;N
* 7 M;RELAY TRANSMIT TIME SLOT; ; ;2373/002;8;N
* 8 M;RELAY TRANSMIT NET NUMBER; ; ;1012/163;3;N
* 9 M;RELAY RECEIVE TIME SLOT; ; ;2373/004;8;N
* 10 M;RELAY RECEIVE NET NUMBER; ; ;1012/164;3;N
