FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;FREQUENCY IN MEGAHERTZ;FREQ;A;1068/001;1-8;NS
;FREQUENCY DESIGNATOR;DESIG;B;1396/001;1-8;AN
2 M;IMAGERY RECEIVER CALL SIGN; ; ;1129/032;1-20;X
3 M;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;A;2024/001;15;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;B;2023/001;11;AN
;LOCATION NAME;NAME;C;1022/004;1-20;X
;GEOGRAPHIC POSITION, UTM 1-METRE;UTM;D;2089/001;15;AN
;GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;E;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 100-METRE;UTMO;F;2087/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED;VGEOK;G;2201/001;22;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;H;2200/001;22;ANS
4 O;DAY-TIME OF LINK START; ; ;2000/092;7;AN
5 C;DAY-TIME OF LINK STOP; ; ;2000/093;7;AN
