FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;RELAY SLOT BLOCK INDICATOR; ; ;1156/004;3-5;A
2 M;NETWORK PARTICIPATION GROUP NUMBER;NPG;A;1012/149;1-3;N
;DIRECTED RELAY GROUP NUMBER; ;B;1012/199;1-2;N
3 M;CRYPTO MODE; ; ;1593/006;3;A
4 M;RECURRENCE RATE NUMBER; ; ;1012/168;1-2;N
5 M;RECEIVE NET NUMBER; ; ;1012/224;1-3;N
6 M;TIME SLOTS SET; ; ;1607/002;1;A
7 M;CRYPTO NET RELAY SELECTION INDICATOR; ; ;1359/017;1;A
8 M;INDEX SLOT NUMBER; ; ;1012/170;1-5;N
9 M;RELAY DELAY NUMBER; ; ;1012/180;1-2;N
10 M;RELAY MODE; ; ;1608/003;2-9;ANB
11 M;RELAY CONTROL; ; ;1608/004;1;A
12 M;DECRYPT INDICATOR; ; ;1359/018;1;A
13 M;ORIGINAL TRANSMISSION NET NUMBER; ; ;1012/154;1-3;N
14 M;END TO END DELAY NUMBER; ; ;1012/203;1-3;N
15 M;RELAY TRANSMIT NET NUMBER; ; ;1012/163;3;N
16 M;TRANSMISSION SECURITY CRYPTOVARIABLE LOGICAL LABEL; ; ;1012/217;1-3;N
17 M;RELAY MESSAGE SECURITY CRYPTOVARIABLE LOGICAL LABEL; ; ;1012/214;1-3;N
