FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TIME SLOT BLOCK INDICATOR; ; ;1156/003;3-5;A
2 M;NETWORK PARTICIPATION GROUP NUMBER; ; ;1012/149;1-3;N
3 M;CRYPTO MODE; ; ;1593/006;3;A
4 M;TRANSMISSION SECURITY CRYPTOVARIABLE LOGICAL LABEL; ; ;1012/217;1-3;N
5 M;MESSAGE SECURITY CRYPTOVARIABLE LOGICAL LABEL; ; ;1012/216;1-3;N
6 M;RECURRENCE RATE NUMBER; ; ;1012/168;1-2;N
7 M;NET NUMBER; ; ;1012/169;1-3;N
8 M;TIME SLOTS SET; ; ;1607/002;1;A
9 M;TRANSMIT/RECEIVE ASSIGNMENT; ; ;1484/002;1;A
10 M;INDEX SLOT NUMBER; ; ;1012/170;1-5;N
11 M;ACCESS MODE; ; ;1593/007;1-2;N
12 M;RELAY DELAY SWITCH; ; ;1608/002;2;A
13 M;RELAY NET NUMBER; ; ;1012/179;1-3;N
14 M;RELAY DELAY; ; ;1012/204;1-3;N
15 M;ORIGINAL TRANSMISSION NET NUMBER; ; ;1012/154;1-3;N
