FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;A;2024/001;15;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;VLATS;B;2044/001;18;ANS
;POSITION, TRUE BEARING AND RANGE IN NM;BAR;C;2281/001;7-20;X
;LOCATION NAME;NAME;D;1022/004;1-20;X
;ICAO LOCATION IDENTIFIER;ID;E;1125/001;4;AN
;ICAO BASE CODE;ICAO;F;1125/002;4;AN
;GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;AUTMT;G;2128/001;10;AN
;GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE;UTMO;H;2126/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEOREFC;I;2018/001;12;AN
2 O;ENEMY ACTION STATUS; ; ;1797/001;3-4;A
3 C;DAY-TIME AS OF; ; ;2000/030;7;AN
4 O;METHOD OF MARKING FRIENDLY POSITIONS; ; ;1613/002;5-6;A
5 C;COLOUR; ; ;1138/001;3-6;A
* 6 O;CONTACT CALL SIGN;CONTACT;A;1129/031;1-20;X
;CONTACT NAME;NAME;B;1022/007;1-20;X
* 7 O;PRIMARY PHONE NUMBER;PPHON;A;1361/005;3-15;X
;LANDING SITE PRIMARY FREQUENCY IN MEGAHERTZ;PFREQ;B;1068/012;1-8;NS
;PRIMARY FREQUENCY DESIGNATOR;PDESIG;C;1396/002;1-8;AN
* 8 O;SECONDARY PHONE NUMBER;SPHON;A;1361/006;3-15;X
;LANDING SITE SECONDARY FREQUENCY IN MEGAHERTZ;SFREQ;B;1068/010;1-8;NS
;SECONDARY FREQUENCY DESIGNATOR;SDESIG;C;1396/003;1-8;AN
