FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DATA LINK TRANSMISSION MODE; ;A;1181/002;2-4;A
;DATA LINK FREQUENCY MODE; ;B;1175/005;2-3;A
2 M;DATA LINK OPERATING MODE; ; ;1378/002;2;A
3 M;HOURS ATTEMPTED; ; ;1383/003;3-4;NS
4 M;HOURS SUCCESSFUL; ; ;1383/004;3-4;NS
5 O;TIME TO ESTABLISH LINK; ; ;1383/005;3-4;NS
6 O;DATA LINK TRANSMIT-RECEIVE INDICATOR; ; ;1484/001;1-2;A
7 O;DATA ACCURACY; ; ;1485/001;1;A
8 O;DATA LINK TRANSMISSION AVERAGE QUALITY; ; ;2297/003;3;AN
9 O;DATA LINK RECEPTION AVERAGE QUALITY; ; ;2297/002;3;AN
