FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LOCATION, UTM 10-METRE; ;A ;2086/020;13;AN
;LOCATION, UTM 100-METRE; ;B ;2087/020;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C ;2024/001;15;AN
;LINE THRUST POSITION;LTP;D;1012/239;3-9;ANS
;AUTOMATED TACTICAL TARGET GRAPHIC;ATG;E ;1411/001;1-14;ANS
;AREA NAME;AREA;F ;1022/069;1-38;X
;LINE OR STRIP NAME;LINE;G;1022/221;1-38;X
;POINT DESIGNATION TEMPLATE;PDT;H;2412/001;12-16;ANBS
2 M;COORDINATES QUALIFIER; ; ;1130/046;2-8;A
3 O;REFERENCE POINT TYPE; ; ;1363/043;1-30;X
4 O;BEARING (001-360) IN DEGREES, TRUE; ;A;1791/006;3;N
;DIRECTION OF MOVEMENT (COMPASS POINT); ;B ;1161/001;1-3;A
5 O;DISTANCE IN METRES; ;A;1052/001;1-4;N
;DISTANCE IN NAUTICAL MILES;NM;B;1089/001;1-5;NS
