FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SHIP IDENTIFICATION;ID;A;2021/001;4-10;X
;UNIT;SHIP;B;1022/057;1-30;X
;BASE NAME;BASE;C;1022/104;1-20;X
;PLACE NAME;PLACE;D;1022/170;1-20;X
;TASK ORGANIZATION COMMANDER;CDR;E;1037/003;1-20;X
;STATION DESIGNATOR;STAT;F;1022/185;1-10;X
;UNIT DESIGNATION;UNIT;G;1028/026;1-35;X
;AIRCRAFT TYPE/MODEL;AC;H;1015/004;2-6;AN
;INTERFACE UNIT DESIGNATOR;IUD;I;2367/001;6-11;ANS
;NADGE SITE DESIGNATOR;NADGE;J;1022/206;1-30;X
2 M;CALL SIGN;CS;A;1129/001;1-38;X
;CRYPTO PUBLICATION LINE NUMBER; ;B;1012/181;4;N
3 M;PARTICIPATING UNIT NUMBER, LINK 11; ;A;1625/002;2;N
;CRYPTO PUBLICATION LINE NUMBER; ;B;1012/181;4;N
4 M;TRACK NUMBER BLOCK;BLOCK;A;2371/001;9;NS
;TRACK NUMBER POOL;POOL;B;2371/002;9;NS
5 M;DATA NET PARTICIPATION; ; ;1632/001;4;A
