FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MINE RESEEDING INDICATOR; ; ;1152/001;2;AN
2 O;DELIVERY PLACEMENT ERROR, NAUTICAL MILES, VERIFIED; ; ;2206/003;4-8;ANS
3 O;GEODETIC DATUM; ; ;1195/001;3-25;X
4 O;INTENDED DELIVERY POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;2044/005;18;ANS
;INTENDED DELIVERY POSITION, LAT/LONG 1/10 SECOND VERIFIED; ;B;2200/002;22;ANS
;INTENDED DELIVERY POSITION LAT/LONG 1/1000 MIN, VERIFIED; ;C;2201/002;22;ANS
;INTENDED DELIVERY POSITION, PLACE NAME;N;D;1022/189;1-20;X
;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;2202/001;11-36;X
;Q-ROUTE POSITION;POSIT;F;2203/001;7-13;ANS
;INTENDED DELIVERY POSITION, UTM 1,000-METRE; ;G;2088/061;9;AN
;INTENDED DELIVERY POSITION, UTM 100-METRE; ;H;2087/058;11;AN
;INTENDED DELIVERY POSITION, UTM 10-METRE; ;I;2086/058;13;AN
;INTENDED DELIVERY POSITION, UTM 1-METRE; ;J;2089/061;15;AN
;INTENDED DELIVERY POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;2019/017;6;AN
;INTENDED DELIVERY POSITION, GEOREF, MINUTE; ;L;2017/004;8;AN
;INTENDED DELIVERY POSITION, GEOREF, ABBREV, CENTIMINUTE; ;M;2020/002;10;AN
;INTENDED DELIVERY POSITION, GEOREF, CENTIMINUTE; ;N;2018/004;12;AN
5 O;ACTUAL DELIVERY POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;2044/007;18;ANS
;ACTUAL DELIVERY POSITION, LAT/LONG 1/10 SECOND VERIFIED; ;B;2200/003;22;ANS
;ACTUAL DELIVERY POSITION LAT/LONG 1/1000 MIN, VERIFIED; ;C;2201/003;22;ANS
;ACTUAL DELIVERY POSITION, PLACE NAME;N;D;1022/202;1-20;X
;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;2202/001;11-36;X
;Q-ROUTE POSITION;POSIT;F;2203/001;7-13;ANS
;ACTUAL DELIVERY POSITION, UTM 1,000-METRE; ;G;2088/062;9;AN
;ACTUAL DELIVERY POSITION, UTM 100-METRE; ;H;2087/059;11;AN
;ACTUAL DELIVERY POSITION, UTM 10-METRE; ;I;2086/059;13;AN
;ACTUAL DELIVERY POSITION, UTM 1-METRE; ;J;2089/062;15;AN
;ACTUAL DELIVERY POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;2019/018;6;AN
;ACTUAL DELIVERY POSITION, GEOREF, MINUTE; ;L;2017/002;8;AN
;ACTUAL DELIVERY POSITION, GEOREF, ABBREV, CENTIMINUTE; ;M;2020/003;10;AN
;ACTUAL DELIVERY POSITION, GEOREF, CENTIMINUTE; ;N;2018/002;12;AN
* 6 O;DROP QUALITY; ; ;1151/001;1-4;N
