FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;PRIMARY/ALTERNATE TARGET DESIGNATOR; ; ;1076/013;1;A
2 M;MISSION NUMBER; ; ;1012/069;1-8;X
3 M;DAY-TIME AND MONTH TASKED ON TARGET;TOT;A;2030/041;10;AN
;DAY-TIME ON TARGET TO THE SECOND, ZULU;TOTS;B;2483/002;9;AN
4 M;NOT EARLIER THAN DAY-TIME;NET;A;2000/088;7;AN
;NOT EARLIER THAN DAY-TIME TO THE SECOND, ZULU;NETS;B;2483/003;9;AN
5 M;NOT LATER THAN DAY-TIME;NLT; ;2000/087;7;AN
6 M;TARGET POSITION NAME;NAME;A;1022/081;1-20;X
;TARGET POSITION IDENTIFIER;ID;B;1416/002;1-20;X
7 M;NON-SHIP TARGET TYPE; ;A;1650/006;2-6;A
;SHIP TARGET TYPE; ;B;1036/011;2-6;A
8 M;TYPE OF CRUISE MISSILE; ; ;1407/027;1;A
9 M;NUMBER OF MISSILES; ; ;1044/323;1-3;N
10 O;TARGET PRIORITY, LITERAL; ; ;1076/011;1-5;AN
11 O;COMPONENT TARGET IDENTIFIER; ; ;1416/005;1-12;X
12 O;GEOGRAPHIC POSITION, LAT/LONG TEN THOUSANDTHS OF MINUTE;DMPIT;A;2489/001;21;ANS
;GEOGRAPHIC LOCATION, LAT/LONG, CENTISECONDS;DMPIC;B;2488/001;19;AN
;GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;DMPIK;C;2496/001;19;ANS
;LOCATION, DECISECONDS;DMPID;D;2187/001;19;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;DMPIS;E;2024/001;15;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;DMPIM;F;2023/001;11;AN
13 C;GEODETIC DATUM; ; ;1195/001;3-25;X
* 14 O;AIMPOINT SUFFIX; ; ;1012/244;2;AN
