FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CONTACT SERIAL NUMBER; ; ;1012/067;1-3;N
2 M;UNIT; ; ;1022/057;1-30;X
3 M;LOCATING REPORT NUMBER; ;A;2296/001;3-4;AN
;NOT REPORTED IN FLIGHT; ;B;1449/001;4;A
4 M;NAME OF SHIP CLASS;CL;A;1022/035;1-30;X
;UNIT; ;B;1022/057;1-30;X
5 M;NAVAL SHIP TYPE; ; ;1036/003;2-4;A
6 M;FLAG; ; ;1026/003;2;A
7 M;CONTACT PHOTO STATUS; ; ;1450/001;3;A
8 O;PENNANT NUMBER; ; ;1012/046;1-10;AN
9 O;SHIP CONTROL NUMBER; ; ;2282/001;6;AN
10 O;NATO SURFACE CONTACT DESIGNATOR; ;A;2154/001;4;AN
;DISCRETE IDENTIFIER; ;B;1625/025;4;N
