FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;FLAG; ;A;1026/003;2;A
;UNIT IDENTIFICATION CODE (UIC);UIC;B;2141/001;7-9;AN
2 M;NAVAL SHIP TYPE; ; ;1036/003;2-4;A
3 M;SHIP NAME; ; ;1022/049;1-38;X
4 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;2043/001;14;ANS
;PLACE NAME;PLACE;B;1022/170;1-20;X
;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;C;2016/001;6-46;X
5 M;DAY-TIME OF POSITION, VERIFIED; ;A;2013/007;8;AN
;DATE-TIME MONTH, VERIFIED; ;B;2032/001;11;AN
;LOCATING DAY-MONTH NAME; ;C;2067/004;5;AN
6 M;COURSE IN DEGREES TRUE AND SPEED IN KNOTS; ;A;2025/001;5-6;NS
;NAVAL FORCE MOVEMENT STATUS; ;B;1341/002;3-6;A
