FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;B;2044/001;18;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;C;2200/001;22;ANS
;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;D;2202/001;11-36;X
;Q-ROUTE POSITION;POSIT;E;2203/001;7-13;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;F;2201/001;22;ANS
;GEOGRAPHIC POSITION, UTM 1-METRE; ;G;2089/001;15;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;H;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;I;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 1,000-METRE; ;J;2088/001;9;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;K;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;L;2018/001;12;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;M;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;N;2020/001;10;AN
2 M;DAY-TIME AT ROUTE POSITION, VERIFIED; ; ;2013/030;8;AN
* 3 M;VERIFIED COURSE AND SPEED; ;A;2119/002;11-12;ANS
;COURSE AND SPEED, WITH DECIMAL PLACES, VERIFIED;COSPDEC;B;2205/001;11-16;ANS
* 4 M;VERIFIED DURATION IN HOURS; ;A;2125/001;4-7;ANS
;NON-DISCRETE INDICATOR; ;B;1084/001;2-11;AB
