FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;PRISONER OF WAR INTERNMENT NUMBER; ; ;2448/001;3-12;X
2 C;PW INTERROGATION SERIAL NUMBER; ; ;1012/231;27;ANS
3 M;LAST NAME; ; ;1022/255;1-54;X
4 M;FIRST NAME(S); ; ;1022/256;1-54;X
5 M;MIDDLE NAME(S)/INITIAL(S); ; ;1022/257;1-54;X
6 M;BIRTH NAME; ; ;1022/258;1-54;X
7 M;PERSONAL TITLE; ; ;1022/259;1-54;X
8 M;GENDER, ABBREVIATED; ; ;1286/013;1;A
9 M;COUNTRY; ; ;1026/018;2;A
10 M;PERSONAL IDENTIFICATION NUMBER; ; ;1012/230;1-20;X
11 M;DATE OF BIRTH, YYYYMMDD; ;A;2053/008;8;N
;AGE; ;B;1044/357;1-3;N
12 O;PLACE NAME, EXPANDED; ; ;1022/261;1-54;X
13 O;COUNTRY OF BIRTH; ; ;1026/013;2;A
14 O;COMMENTS; ; ;1357/001;1-68;X
