FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SERIAL LETTER; ; ;1102/003;1;A
2 M;MESSAGE TEXT FORMAT IDENTIFIER; ;A;1018/002;3-20;X
;COMMUNICATION TYPE;CT;B;1153/001;3;A
3 M;ORIGINATOR; ; ;1029/001;1-30;X
4 M;DAY-TIME GROUP OF REFERENCE;DTIME;A;2197/002;6;N
;DAY-TIME OF REFERENCE; ;B;2000/034;7;AN
;DAY-TIME OF REFERENCE, VERIFIED; ;C;2013/033;8;AN
;DAY-TIME AND MONTH OF REFERENCE; ;D;2030/002;10;AN
;DATE-TIME MONTH OF REFERENCE, VERIFIED; ;E;2032/002;11;AN
;DTG OF REFERENCE, 4 DIGIT YR; ;F;2033/002;14;AN
;DTG OF REFERENCE, VERIFIED, 4 YR; ;G;2034/002;15;AN
;DATE OF REFERENCE, DDMMMYYYY; ;H;2001/003;9;AN
;DATE OF REFERENCE, DDMMYYYY;DMY;I;2052/002;8;N
;DATE OF REFERENCE, YYYYMMDD;YMD;J;2053/002;8;N
5 O;REFERENCE SERIAL NUMBER; ; ;1012/066;1-10;X
6 O;SPECIAL NOTATION; ; ;1131/001;5;A
* 7 O;SIC; ;A;1017/002;3;A
;FILING NUMBER;FN;B;1012/049;1-10;X
