FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;RADIO FREQUENCY; ;A;2064/001;3-14;ANS
;FREQUENCY BAND; ;B;1264/001;3-6;AS
2 O;PULSE REPETITION FREQUENCY; ; ;2177/001;4-14;ANS
3 O;PULSE REPETITION INTERVAL IN MICROSECONDS; ; ;2176/001;4-14;ANS
4 O;PULSE WIDTH; ; ;2175/001;3-6;ANS
5 O;SCAN RATE (HZ); ;A;2026/001;3-8;ANS
;SCAN RATE (SPR); ;B;2008/001;4-8;ANS
;SCAN RATE (RPM); ;C;2174/002;4-6;ANS
6 O;SCAN TYPE; ; ;1105/001;1-4;A
7 O;EMISSION INTERCEPT DURATION; ; ;2095/001;14;AN
8 O;PRF VARIATION; ; ;1260/001;4-5;A
