FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;A;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;B;2200/001;22;ANS
;GEOGRAPHIC POSITION, GEOREF, MINUTE;GEOREFM;C;2017/001;8;AN
;POSITION, TRUE BEARING AND RANGE IN NM;BAR;D;2281/001;7-20;X
;LOCATION NAME;NAME;E;1022/004;1-20;X
;GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;AUTMT;F;2128/001;10;AN
;GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE;AUTMO;G;2126/001;8;AN
2 M;ALTITUDE IN HUNDREDS OF FEET, 0-999;ALT;A;1255/014;1-3;N
;FLIGHT LEVEL IN HUNDREDS OF FEET;FL;B;1255/012;3;N
3 M;RELATIVE AIRCRAFT ARRIVAL TIME;REL;A;2482/003;6;ANS
;DAY-TIME OF ARRIVAL;ARRV;B;2000/002;7;AN
4 M;RENDEZVOUS LEADER INDICATOR; ; ;1359/021;1;A
5 M;RENDEZVOUS CALL SIGN;CS;A;1129/036;1-12;X
;RENDEZVOUS AIRCRAFT MISSION NUMBER;MN;B;1012/242;1-12;X
6 M;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;1068/013;1-8;NS
;PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;1396/002;1-8;AN
7 O;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;1068/014;1-8;NS
;SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;1396/003;1-8;AN
