FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MISSION PRIORITY;PRI; ;1076/002;1;N
2 O;DAY-TIME AND MONTH OVER TARGET; ; ;2030/043;10;AN
3 C;NOT EARLIER THAN DAY-TIME AND MONTH;NET;A;2030/046;10;AN
;NOT EARLIER THAN DAY-TIME TO THE SECOND, ZULU;NETS;B;2483/003;9;AN
4 C;NOT LATER THAN DAY-TIME;NLT;A;2000/087;7;AN
;NOT LATER THAN DAY-TIME TO THE SECOND, ZULU;NLTS;B;2483/004;9;AN
5 M;DTG OF LATEST TIME OF INTELLIGENCE VALUE, 4 DIGIT YR; ; ;2033/003;14;AN
6 M;RECONNAISSANCE MISSION TYPE; ; ;1285/030;2-5;A
7 M;TYPE OF RECONNAISSANCE/SURVEILLANCE COVERAGE; ; ;1795/001;2-8;A
8 O;SENSOR TYPE; ; ;1677/007;2;AN
9 C;IMAGE QUALIFIER;IMQ; ;1677/006;1-2;A
10 M;IMAGERY COVERAGE EXTENT AND MODE;CM; ;1677/004;1;A
11 M;RECONNAISSANCE MISSION PURPOSE; ; ;1435/001;1;A
12 M;TYPE OF INTELLIGENCE TASK; ; ;1285/028;3;A
13 O;COMPONENT TARGET IDENTIFIER; ; ;1416/005;1-12;X
14 M;TARGET CATEGORY CODE; ; ;1309/002;2;N
* 15 M;ESSENTIAL ELEMENTS OF INFORMATION (EEI) OF TARGET CATEGORY; ; ;1802/001;2-6;ANS
