FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;REFERENCE POINT; ; ;1362/004;4-10;A
* 2 M;POINT DESIGNATOR; ; ;1012/156;2-17;ANB
* 3 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;2023/001;11;AN
;REFERENCE POINT NAME;REF;C;1022/002;1-38;X
;BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;D;2307/001;10-27;X
;PLACE NAME;PLACE;E;1022/170;1-20;X
;GEOGRAPHIC POSITION, UTM 10-METRE; ;F;2086/001;13;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;G;2017/001;8;AN
* 4 M;DAY-TIME, VERIFIED; ;A;2013/001;8;AN
;DAY-TIME; ;B;2000/001;7;AN
* 5 C;FLIGHT LEVEL; ;A;2129/001;5;AN
;MARITIME ALTITUDE IN HUNDREDS OF FEET; ;B;2164/001;6;AN
