FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;2024/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;C;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;D;2018/001;12;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;E;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;F;2086/001;13;AN
;ICAO LOCATION IDENTIFIER; ;G;1125/001;4;AN
;LOCATION OR POSITION NAME;N;H;1022/006;1-15;X
2 M;FUEL QUANTITY; ; ;2105/001;4-15;ANS
3 M;NATO STANDARD FUEL TYPE; ; ;1172/001;3-5;AN
4 O;NATO STANDARD FUEL TYPE;ALT; ;1172/001;3-5;AN
5 C;EXPLANATION; ; ;1357/003;1-67;X
