FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TARGET ELEMENT DESCRIPTION;TGTEL;A;1363/007;1-20;X
;EQUIPMENT TYPE;EQPMT;B;1135/001;1-20;X
2 M;TARGET/EQUIPMENT QUANTITY DESTROYED/DAMAGED;QTY;A;1044/206;1-2;N
;TARGET/EQUIPMENT PERCENTAGE DAMAGED/DESTROYED;PCT;B;1064/010;1-3;N
3 M;MISSION RESULTS; ; ;1088/009;3-8;A
4 O;IMAGERY CONFIRMATION; ; ;1027/007;2-3;A
* 5 O;WEAPON IMPACT POINT, UTM 10-METRE;UTMT;A;2086/044;13;AN
;WEAPON IMPACT POINT,LAT/LONG THOUSANDTHS OF MINUTES;LATTM;B;2496/002;19;ANS
* 6 O;QUANTITY OF ORDNANCE EXPENDED; ; ;1044/225;1-5;N
* 7 O;ORDNANCE/WEAPON TYPE AIR-TO-SURFACE; ; ;1407/032;3-8;ANS
* 8 O;ENEMY ACTIVITY TYPE; ; ;1299/009;2-8;A
* 9 C;ACTIVITY LOCATION, UTM 10-METRE;UTMT;A;2086/041;13;AN
;ACTIVITY LOCATION,LAT/LONG THOUSANDTHS OF MINUTES;LATTM;B;2496/003;19;ANS
