FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;DAY-TIME OF POSITION; ;A;2000/018;7;AN
;TIME AT POSITION (HOUR-MINUTE); ;B;2014/002;4;N
;DAY-TIME OF POSITION, VERIFIED; ;C;2013/007;8;AN
;DATE-TIME MONTH AT TRANSIT POINT, VERIFIED; ;D;2032/011;11;AN
* 2 M;POSITION OR POINT NAME;NAME;A;1022/018;1-20;X
;GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;B;2022/001;7;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;C;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;D;2024/001;15;AN
;GEOGRAPHIC POSITION, LAT/LONG, DEGREES, VERIFIED; ;E;2042/001;10;ANS
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;F;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;G;2044/001;18;ANS
;GEOGRAPHIC POSITION, UTM 1,000-METRE; ;H;2088/001;9;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;I;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;J;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE; ;K;2089/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;L;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;M;2018/001;12;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;N;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;O;2020/001;10;AN
;BEARING AND DISTANCE FROM REFERENCE POINT;BEARING;P;2157/001;9-54;X
;ICAO BASE CODE;ICAO;Q;1125/002;4;AN
* 3 O;TRACK/ROUTE TYPE; ; ;1372/001;2-3;A
