FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ORDNANCE/WEAPON TYPE, SURFACE-TO-AIR; ; ;1407/002;3-6;ANS
2 M;NUMBER OF ENEMY WEAPONS FIRED; ; ;1044/180;1-2;N
3 M;INCIDENT POSITION, LAT/LONG, MINUTES;LATM;A;2023/018;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;B;2024/001;15;AN
;LOCATION, UTM 1,000-METRE;UTMK;C;2088/020;9;AN
;LOCATION, UTM 100-METRE;UTMO;D;2087/020;11;AN
;TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;E;2431/001;5-20;X
;ACTIVITY LOCATION NAME;NAME;F;1022/103;1-20;X
4 M;DAY-TIME OF EVENT; ; ;2000/009;7;AN
5 M;FLIGHT LEVEL; ;A;2129/001;5;AN
;ALTITUDE IN HUNDREDS OF FEET;ALT;B;1255/001;3;N
;ALTITUDE IN FEET ABOVE GROUND LEVEL (AGL);AGL;C;1290/002;1-5;N
6 O;RADAR WARNING RECEIVER INDICATIONS; ; ;1363/052;1-20;X
7 O;ATTACK INTENSITY; ; ;1293/001;3-5;A
8 O;CLOSEST MISSED POSITION; ; ;2140/001;3-6;AN
9 O;MEANS BY WHICH WEAPON IDENTIFIED; ; ;1413/002;3-4;A
10 O;DESCRIPTION OF COUNTERMEASURES TAKEN; ; ;1363/054;1-38;X
