FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TARGET DESCRIPTION; ; ;1363/004;1-20;X
2 M;TARGET ELEMENT DESCRIPTION;TGTEL;A;1363/007;1-20;X
;EQUIPMENT TYPE;EQPMT;B;1135/001;1-20;X
3 M;NUMBER OF TARGET ELEMENTS; ; ;1044/083;1-4;N
4 O;NATIONALITY; ; ;1026/002;2;A
5 M;TARGET POSITION, LAT/LONG, MINUTES;LATM;A;2023/043;11;AN
;TARGET POSITION, LAT/LONG, SECONDS;LATS;B;2024/026;15;AN
;TARGET POSITION, UTM 1,000-METRE;UTMK;C;2088/024;9;AN
;TARGET POSITION, UTM 100-METRE;UTMO;D;2087/024;11;AN
;TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;E;2431/001;5-20;X
;ACTIVITY LOCATION NAME;NAME;F;1022/103;1-20;X
6 M;ACTIVITY TYPE, LITERAL; ; ;1299/010;1-13;AB
7 M;DAY-TIME OF POSITION; ; ;2000/018;7;AN
8 O;TARGET COURSE IN DEGREES;COURSE;A;2065/014;4;AN
;DIRECTION OF MOVEMENT (COMPASS POINT);DIR;B;1161/001;1-3;A
;DIRECTION OF MOVEMENT IN DEGREES;DIRMOV;C;1043/009;3;N
9 O;TARGET SPEED;SPEED;A;2063/002;4-7;ANS
;APPROXIMATE SPEED;APPXSPD;B;1113/005;3-4;A
