FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ON-STATION CONTACT; ; ;1470/002;2-6;A
2 M;INITIAL CONTACT; ; ;1470/003;2-6;A
3 M;BEST CONTACT; ; ;1470/004;2-6;A
4 M;OFF-STATION CONTACT; ; ;1470/005;2-6;A
5 M;INITIAL SEARCH AREA; ; ;1398/001;1;A
6 O;DAY-TIME OF SWAP, VERIFIED; ;A;2013/044;8;AN
;DAY-TIME OF SWAP; ;B;2000/049;7;AN
7 O;ORIGIN, LAT/LONG, MINUTES, VERIFIED; ;A;2043/011;14;ANS
;BEARING ORIGIN, LAT/LONG, MINUTES; ;B;2023/002;11;AN
8 O;BEARING, DEGREES TRUE; ;A;2253/001;4;AN
;SEMI-MAJOR AXIS ORIENTATION, DEGREES TRUE;AXIS;B;2256/002;4;AN
9 O;SEMI-MAJOR AXIS LENGTH, NAUTICAL MILES;AXIS;A;2280/002;3-6;AN
;RADIUS, NAUTICAL MILES; ;B;2276/001;3-6;AN
10 O;SEMI-MINOR AXIS LENGTH, NAUTICAL MILES;AXIS;A;2280/003;3-6;AN
;BEARING ERROR; ;B;1391/001;1-3;NS
;SECTOR HALF-WIDTH DISTANCE, NAUTICAL MILES; ;C;2280/004;3-6;AN
