FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TARGET AREA FUNCTIONAL TYPE; ; ;1284/021;3-4;A
2 M;TARGET AREA DESCRIPTION; ; ;1363/006;1-20;X
3 O;AUTOMATED TACTICAL TARGET GRAPHIC ANNOTATION; ;A;1411/002;2-3;AN
;POINT DESIGNATION TEMPLATE; ;B;2412/001;12-16;ANBS
4 O;GEOGRAPHIC POSITION, UTM 10-METRE; ;A;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;B;2087/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C ;2024/001;15;AN
5 O;BEARING FROM REFERENCE POINT IN DEGREES, TRUE; ; ;1791/004;3;N
6 O;DISTANCE IN METRES; ;A;1052/001;1-4;N
;DISTANCE IN NAUTICAL MILES;NM;B;1089/001;1-5;NS
