FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TARGET LOCATION TYPE; ; ;1284/010;4-8;A
2 M;AREA NAME;N;A;1022/069;1-38;X
;TARGET POSITION, LAT/LONG, MINUTES; ;B;2023/043;11;AN
;TARGET POSITION, LAT/LONG, SECONDS; ;C;2024/026;15;AN
;TARGET POSITION, UTM 100-METRE; ;D;2087/024;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;E;2086/001;13;AN
3 C;TARGET RADIUS, M, KM, NM;RAD;A;2118/002;2-7;ANS
;TARGET WIDTH, M, KM, NM;WDTH;B;2123/002;2-7;ANS
;ELLIPTICAL TARGET AREA;ELP;C;2180/002;11-23;ANS
* 4 C;TARGET POSITION, LAT/LONG, MINUTES; ;A;2023/043;11;AN
;TARGET POSITION, LAT/LONG, SECONDS; ;B;2024/026;15;AN
;TARGET POSITION, UTM 100-METRE; ;C;2087/024;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;D;2086/001;13;AN
