FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;LENGTH IN METRES, 1-9999; ; ;1657/005;1-4;N
2 O;WIDTH IN METRES, 1-9999; ; ;1658/003;1-4;N
3 O;HEIGHT IN METRES, 0-999; ; ;1651/006;1-3;N
4 C;DEPTH IN METRES, 1-999; ; ;1247/006;1-3;N
5 C;DIAMETER IN METRES; ; ;1679/001;1-4;N
6 O;STORAGE CAPACITY IN METRIC TONS; ;A;1050/007;1-5;N
;STORAGE CAPACITY IN CUBIC METRES;M3;B;1063/003;1-9;N
7 O;TARGET MATERIAL TYPE; ; ;1592/004;2-10;AB
8 O;TARGET SHAPE; ; ;1259/005;2-11;ABS
* 9 O;TARGET PROTECTION; ; ;1424/003;2-11;AS
