FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TARGET DESCRIPTION; ; ;1363/004;1-20;X
2 O;TARGET NAME; ; ;1022/097;1-38;X
3 O;GEOGRAPHICAL ENTITY; ; ;1026/001;2;A
4 M;TARGET POSITION IDENTIFIER;POSNID;A;1416/002;1-20;X
;BASIC ENCYCLOPEDIA NUMBER;BEN;B;2002/001;10;ANS
;ABCA TARGET NUMBER;ABCA;C;2120/001;7;AN
5 O;TARGET AREA DESCRIPTION; ; ;1363/006;1-20;X
6 O;TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;A;2431/001;5-20;X
;TARGET POSITION, LAT/LONG, MINUTES;LATM;B;2023/043;11;AN
;TARGET POSITION, LAT/LONG, SECONDS;LATS;C;2024/026;15;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE;AGEOREFM;D;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE;GEOREFM;E;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE;AGEOREFC;F;2020/001;10;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEOREFC;G;2018/001;12;AN
;TARGET POSITION, UTM 1,000-METRE;UTMK;H;2088/024;9;AN
;TARGET POSITION, UTM 100-METRE;UTMO;I;2087/024;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;J;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE;UTM;K;2089/001;15;AN
7 O;DAY-TIME OF POSITION; ; ;2000/018;7;AN
8 O;TARGET COURSE IN DEGREES;COURSE;A;2065/014;4;AN
;DIRECTION OF MOVEMENT (COMPASS POINT);DIR;B;1161/001;1-3;A
;DIRECTION OF MOVEMENT IN DEGREES;DIRMOV;C;1043/009;3;N
9 O;TARGET SPEED;SPEED;A;2063/002;4-7;ANS
;APPROXIMATE SPEED;APPXSPD;B;1113/005;3-4;A
