FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DAY-TIME OF POSITION, VERIFIED; ;A;2013/007;8;AN
;DAY-TIME OF POSITION; ;B;2000/018;7;AN
2 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;2023/001;11;AN
3 M;CONTACT COURSE, DEGREES TRUE; ; ;2258/002;4;AN
4 M;CONTACT SPEED, KNOTS; ; ;2265/002;4-7;ANS
5 M;ASW MISSION EVENT; ; ;1224/003;4-7;AS
6 M;SENSOR PLATFORM; ; ;1473/002;3-4;A
7 M;ACOUSTIC SENSOR; ; ;1434/005;2-6;AN
8 O;ACOUSTIC INFORMATION SOURCE; ; ;1474/001;2-7;A
9 O;NUMBER OF DETECTING SENSORS; ; ;1044/120;1-2;N
10 O;NAVIGATION ACCURACY, YARDS, METRES OR NAUTICAL MILES; ; ;2284/002;2-6;ANS
