FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MISSION NUMBER; ; ;1012/069;1-8;X
2 M;TRANSPORTATION REQUIREMENT IDENTIFIER;ID;A;1102/011;5;X
;UNIT LINE NUMBER;ULN;B;1012/246;7-8;AN
;UNIT IDENTIFICATION CODE, SPECIFIC;UIC;C;1028/039;1-6;AN
;PERSONNEL INCREMENT NUMBER;PIN;D;1012/251;7;AN
;CARGO INCREMENT NUMBER;CIN;E;1012/252;7;AN
3 M;ONLOAD LEG REFERENCE NUMBER; ; ;1012/249;1-6;X
4 M;OFFLOAD LEG REFERENCE NUMBER; ; ;1012/250;1-6;X
5 O;NUMBER OF PASSENGERS; ; ;1044/088;1-4;N
6 O;BULK CARGO IN SHORT TONS IN TENTHS; ; ;1800/002;2-5;NS
7 O;HOIST REQUIREMENT INDICATOR; ; ;1027/052;2-3;A
8 O;TYPE OF SUPPORT EQUIPMENT; ; ;1135/009;1-20;X
9 O;HAZARDOUS CARGO DESIGNATOR, ABBREVIATED; ; ;1221/003;1-5;ANS
10 O;SINGLE DAGGER REQUIRED; ; ;1359/022;1;A
11 O;NET EXPLOSIVE WEIGHT; ; ;2487/002;3-7;AN
12 O;OVERSIZE CARGO IN SHORT TONS IN TENTHS; ; ;1800/003;2-5;NS
13 O;OUTSIZE CARGO IN SHORT TONS IN TENTHS; ; ;1800/004;2-5;NS
14 O;NUMBER OF STRETCHER PATIENTS, 0-999; ; ;1044/325;1-3;N
15 O;NUMBER OF AMBULATORY PATIENTS; ; ;1044/326;1-3;N
16 O;NUMBER OF ATTENDANTS; ; ;1044/327;1-3;N
17 O;CONTACT NAME; ; ;1022/007;1-20;X
