FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) TIME SLOT BLOCK INDICATOR;1;CNG; ; ;CURRENT / CURRENT;1156/003;3;A;L
2 M;(NU) TRANSMIT/RECEIVE ASSIGNMENT;5;TR; ; ;CURRENT / CURRENT;1484/002;1;A;L
3 M;(NU) TIME SLOTS SET;8;ST; ; ;CURRENT / CURRENT;1607/002;1;A;L
4 M;(NU) INDEX SLOT NUMBER;11;ISN; ; ;CURRENT / CURRENT;1012/170;1-3;N;R
5 M;(NU) RECURRENCE RATE NUMBER;15;RRN; ; ;CURRENT / CURRENT;1012/168;1-2;N;R
6 M;(NU) NETWORK PARTICIPATION GROUP NUMBER;19;NPG; ; ;CURRENT / CURRENT;1012/149;1-3;N;R
7 M;(NU) LINK NET NUMBER;23;NET; ; ;CURRENT / CURRENT;1012/692;3;N;R
8 M;(NU) RELAY DELAY NUMBER;27;DL;RDN;A;CURRENT / CURRENT;1012/180;1-2;N;R
;(NU) END-TO-END RELAY DELAY NUMBER;null;DL;ETE;B;CURRENT / CURRENT;1012/203;3;N;R
9 M;(NU) ACCESS DESCRIPTOR;35;AD; ; ;CURRENT / CURRENT;1593/012;1-2;N;R
10 M;(NU) TIME SLOT REALLOCATION POOL NUMBER;38;TSR; ; ;CURRENT / CURRENT;1012/695;1;N;R
11 M;(NU) RELAY DELAY SWITCH;42;RDS; ; ;CURRENT / CURRENT;1608/002;3;A;L
12 M;(NU) RELAY TRANSMIT NET NUMBER;46;RNET; ; ;CURRENT / CURRENT;1012/163;3;N;R
13 M;(NU) ORIGINAL TRANSMISSION NET NUMBER;51;OTN; ; ;CURRENT / CURRENT;1012/154;1-3;N;R
14 M;(NU) CRYPTOGRAPHIC MODE;55;CM; ; ;CURRENT / CURRENT;1835/001;1;A;L
15 M;(NU) MESSAGE SECURITY CRYPTOVARIABLE LOGICAL LABEL;58;MSC; ; ;CURRENT / CURRENT;1012/216;1-3;N;R
16 M;(NU) TRANSMISSION SECURITY CRYPTOVARIABLE LOGICAL LABEL;62;TSC; ; ;CURRENT / CURRENT;1012/217;1-3;N;R
