FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) POSITION OR POINT NAME;1;POSITION OR POINT;N;A;CURRENT / CURRENT;1022/018;1-20;X;L
;(NU) POSITION OR POINT, TRUE BEARING AND DISTANCE IN NM;null;POSITION OR POINT;T;B;CURRENT / CURRENT;2431/003;5-20;X;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES;null;POSITION OR POINT; ;C;CURRENT / CURRENT;2022/001;7;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;null;POSITION OR POINT;MIN;D;CURRENT / CURRENT;2023/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;POSITION OR POINT; ;E;CURRENT / CURRENT;2024/001;15;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE;null;POSITION OR POINT; ;F;CURRENT / CURRENT;2019/001;6;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;null;POSITION OR POINT; ;G;CURRENT / CURRENT;2017/001;8;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES, VERIFIED;null;POSITION OR POINT; ;H;CURRENT / CURRENT;2042/001;10;ANS;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED;null;POSITION OR POINT; ;I;CURRENT / CURRENT;2043/001;14;ANS;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;null;POSITION OR POINT; ;J;CURRENT / CURRENT;2044/001;18;ANS;L
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE;null;POSITION OR POINT; ;K;CURRENT / CURRENT;2088/001;9;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;null;POSITION OR POINT; ;L;CURRENT / CURRENT;2087/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;null;POSITION OR POINT; ;M;CURRENT / CURRENT;2086/001;13;AN;L
;(NU) ROUTE POINT, ICAO IDENTIFIER;null;POSITION OR POINT; ;N;CURRENT / CURRENT;1125/006;4;AN;L
2 M;(NU) DAY-TIME OF POSITION;24;TIME; ;A;CURRENT / CURRENT;2000/018;7;AN;L
;(NU) DAY-TIME OF POSITION, VERIFIED;null;TIME; ;B;CURRENT / CURRENT;2013/007;8;AN;L
3 O;(NU) FLIGHT EVENT;33;FLT EVENT; ; ;CURRENT / CURRENT;1224/002;2-13;AB;L
4 O;(NU) FLIGHT LEVEL;47;ALTITUDE; ;A;CURRENT / CURRENT;2129/001;5;AN;L
;(NU) ALTITUDE IN HUNDREDS OF FEET;null;ALTITUDE; ;B;CURRENT / CURRENT;1255/001;3;N;R
;(NU) FLIGHT LEVEL BAND;null;ALTITUDE; ;C;CURRENT / CURRENT;2099/001;11;ANS;L
;(NU) ALTITUDE BAND;null;ALTITUDE; ;D;CURRENT / CURRENT;2100/001;7;NS;L
;(NU) ALTITUDE-FLIGHT LEVEL BAND;null;ALTITUDE; ;E;CURRENT / CURRENT;2101/001;9;ANS;L
