FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) TIME SLOT BLOCK INDICATOR;1;CNG; ; ;CURRENT / CURRENT;1156/003;3;A;L
2 M;(NU) TIME SLOTS SET;5;ST; ; ;CURRENT / CURRENT;1607/002;1;A;L
3 M;(NU) INDEX SLOT NUMBER;8;ISN; ; ;CURRENT / CURRENT;1012/170;1-3;N;R
4 M;(NU) RECURRENCE RATE NUMBER;12;RRN; ; ;CURRENT / CURRENT;1012/168;1-2;N;R
5 M;(NU) NETWORK PARTICIPATION GROUP NUMBER;16;NPG; ; ;CURRENT / CURRENT;1012/149;1-3;N;R
6 M;(NU) LINK NET NUMBER;20;NET; ; ;CURRENT / CURRENT;1012/692;3;N;R
7 M;(NU) RELAY DELAY NUMBER;24;DL; ; ;CURRENT / CURRENT;1012/180;1-2;N;R
8 M;(NU) RELAY CONTROL;27;RC; ; ;CURRENT / CURRENT;1608/004;3;A;L
9 M;(NU) RELAY FUNCTION;31;RF; ; ;CURRENT / CURRENT;1608/005;1;A;L
10 M;(NU) END-TO-END RELAY DELAY NUMBER;34;ETE; ; ;CURRENT / CURRENT;1012/203;3;N;R
11 M;(NU) ORIGINAL TRANSMISSION NET NUMBER;38;OTN; ; ;CURRENT / CURRENT;1012/154;1-3;N;R
12 M;(NU) DECRYPT INDICATOR;42;DEC; ; ;CURRENT / CURRENT;1359/018;1;A;L
13 M;(NU) RELAY TRANSMIT NET NUMBER;46;NTT; ; ;CURRENT / CURRENT;1012/163;3;N;R
14 M;(NU) CRYPTO NET RELAY INDICATOR;50;CNR; ; ;CURRENT / CURRENT;1359/017;1;A;L
15 M;(NU) CRYPTOGRAPHIC MODE;54;CM; ; ;CURRENT / CURRENT;1835/001;1;A;L
16 M;(NU) MESSAGE SECURITY CRYPTOVARIABLE LOGICAL LABEL;57;MSC; ; ;CURRENT / CURRENT;1012/216;1-3;N;R
17 M;(NU) TRANSMISSION SECURITY CRYPTOVARIABLE LOGICAL LABEL;61;TSC; ; ;CURRENT / CURRENT;1012/217;1-3;N;R
