FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) TRACK LEG;1;LEG; ; ;CURRENT / CURRENT;1012/274;2;N;R
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;5;LEG-BEGIN; ;A;CURRENT / CURRENT;2023/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;LEG-BEGIN; ;B;CURRENT / CURRENT;2024/001;15;AN;L
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;21;LEG-END; ;A;CURRENT / CURRENT;2023/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;LEG-END; ;B;CURRENT / CURRENT;2024/001;15;AN;L
4 M;(NU) TRACK WIDTH;37;LEG-WIDTH; ; ;CURRENT / CURRENT;2524/001;7-15;ANS;L
5 M;(NU) VERTICAL DIMENSION, BASE REF POINT TO RELATIVE ALTITUDE;53;MIN-MAXALT;A;A;CURRENT / CURRENT;2166/001;9-11;ANS;L
;(NU) VERTICAL DIMENSION, BASE REF POINT TO FLIGHT LEVEL;null;MIN-MAXALT;B;B;CURRENT / CURRENT;2167/001;8-9;ANS;L
;(NU) VERTICAL DIMENSION, RELATIVE ALTITUDE TO FLIGHT LEVEL;null;MIN-MAXALT;C;C;CURRENT / CURRENT;2168/001;12-13;ANS;L
;(NU) VERTICAL DIMENSION, RELATIVE ALTITUDE TO RELATIVE ALT;null;MIN-MAXALT; ;D;CURRENT / CURRENT;2169/001;13-15;ANS;L
;(NU) VERTICAL DIMENSION, FLIGHT LEVEL TO FLIGHT LEVEL;null;MIN-MAXALT;D;E;CURRENT / CURRENT;2099/002;11;ANS;L
