FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) NUMBER OF PASSENGERS;1;PAX; ; ;CURRENT / CURRENT;1044/088;1-4;N;R
2 M;(NU) PASSENGER WEIGHT;6;TOTWGT; ; ;CURRENT / CURRENT;2185/007;3-11;ANS;R
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;18;EMBARK;M;A;CURRENT / CURRENT;2023/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;EMBARK; ;B;CURRENT / CURRENT;2024/001;15;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;null;EMBARK; ;C;CURRENT / CURRENT;2087/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;null;EMBARK; ;D;CURRENT / CURRENT;2086/001;13;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;null;EMBARK; ;E;CURRENT / CURRENT;2017/001;8;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;EMBARK; ;F;CURRENT / CURRENT;2018/001;12;AN;L
;(NU) ICAO LOCATION IDENTIFIER;null;EMBARK; ;G;CURRENT / CURRENT;1125/001;4;AN;L
;(NU) LOCATION OR POSITION NAME;null;EMBARK;N;H;CURRENT / CURRENT;1022/006;1-15;X;L
4 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;36;DEBARK;M;A;CURRENT / CURRENT;2023/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;DEBARK; ;B;CURRENT / CURRENT;2024/001;15;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;null;DEBARK; ;C;CURRENT / CURRENT;2087/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;null;DEBARK; ;D;CURRENT / CURRENT;2086/001;13;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;null;DEBARK; ;E;CURRENT / CURRENT;2017/001;8;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;DEBARK; ;F;CURRENT / CURRENT;2018/001;12;AN;L
;(NU) ICAO LOCATION IDENTIFIER;null;DEBARK; ;G;CURRENT / CURRENT;1125/001;4;AN;L
;(NU) LOCATION OR POSITION NAME;null;DEBARK;N;H;CURRENT / CURRENT;1022/006;1-15;X;L
5 M;(NU) PREFERRED AIR PASSENGER DELIVERY METHOD;54;PREFDEL; ; ;CURRENT / CURRENT;2184/001;7;A;L
6 O;(NU) AIRFIELD RESTRICTIONS INDICATOR;62;R; ; ;CURRENT / CURRENT;1359/003;1;A;L
7 O;(NU) NUMBER OF HELICOPTER LANDING POINTS;64;HEL; ; ;CURRENT / CURRENT;1044/156;1-2;N;R
