FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) CONTEXT QUANTITY, 1-999;1;QTY; ; ;CURRENT / CURRENT;1023/003;1-3;N;R
2 M;(NU) NATURE OF CARGO LOAD;5;LOADTYP; ; ;CURRENT / CURRENT;1867/002;1-8;AN;L
3 O;(NU) UNIFIED (RAIL) SKETCH BOOK NUMBER;14;SKETNR; ; ;CURRENT / CURRENT;1012/306;4-7;NS;R
4 O;(NU) CONTENT OF CARGO LOAD;22;CNT-CL; ; ;CURRENT / CURRENT;1867/003;1-7;AN;L
5 O;(NU) WEIGHT OF THE LARGEST ITEM IN METRIC TONS;30;HWT; ; ;CURRENT / CURRENT;1050/005;1-3;N;R
6 O;(NU) SERIAL TOTAL WEIGHT IN METRIC TONS;34;SERWT; ; ;CURRENT / CURRENT;1050/009;1-5;N;R
7 O;(NU) DIMENSIONS OF CARGO LOAD IN METERS;40;DIM; ; ;CURRENT / CURRENT;2581/001;5-8;NS;L
8 O;(NU) MILITARY LOAD CLASSIFICATION;49;MLC; ; ;CURRENT / CURRENT;1253/001;1-3;N;R
9 O;(NU) UNITED NATIONS NUMBER;53;UNNO; ; ;CURRENT / CURRENT;1221/004;4-6;AN;L
10 O;(NU) DANGEROUS GOODS CLASSIFICATION;60;UNCL; ; ;CURRENT / CURRENT;1221/005;1-4;ANS;L
