FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) MISSION NUMBER;1;MSNNO; ; ;CURRENT / CURRENT;1012/069;1-8;X;L
2 M;(NU) RECEIVER CALL SIGN;10;RECCS; ; ;CURRENT / CURRENT;1129/035;1-12;X;L
3 M;(NU) NUMBER OF AIRCRAFT, 1-99;23;NO; ; ;CURRENT / CURRENT;1044/322;1-2;N;R
4 M;(NU) AIRCRAFT TYPE AND MODEL;26;ACTYPE;AC;A;CURRENT / CURRENT;1015/020;2-6;AN;L
;(NU) AIRCRAFT TYPE AND MODEL, OTHER;null;ACTYPE;OT;B;CURRENT / CURRENT;1015/018;2-6;AN;L
5 M;(NU) FUEL IN THOUSANDS OF POUNDS, DECIMAL POINT PERMITTED;36;OFLD;KLBS; ;CURRENT / CURRENT;1578/004;3-5;NS;R
6 M;(NU) DAY-TIME OF AIR REFUELLING CONTROL;47;ARCT; ; ;CURRENT / CURRENT;2000/081;7;AN;L
7 O;(NU) CELL SEQUENCE NUMBER;55;SEQ; ;A;CURRENT / CURRENT;1012/253;1;N;R
;(NU) CELL SEQUENCE NUMBERS;null;SEQ; ;B;CURRENT / CURRENT;2436/001;3;NS;R
8 O;(NU) REFUELLING FUEL GRADE;59;TYP;G;A;CURRENT / CURRENT;1803/004;3;AN;L
;(NU) NATO STANDARD AIRCRAFT FUEL TYPE;null;TYP; ;B;CURRENT / CURRENT;1172/004;3;AN;L
9 O;(NU) AERIAL REFUELLING SYSTEM, SPECIFIC;65;ARS; ; ;CURRENT / CURRENT;1579/002;3;A;L
