FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) EMITTER NAME;1;EMITTYP;NAME;A;CURRENT / CURRENT;1022/225;1-10;X;L
;(NU) EMITTER TYPE;null;EMITTYP;TYPE;B;CURRENT / CURRENT;1135/026;3-7;A;L
2 O;(NU) ELINT NOTATION;17;ELNOT;E;A;CURRENT / CURRENT;1012/034;5;AN;L
;(NU) SORTING CODE;null;ELNOT;S;B;CURRENT / CURRENT;1012/076;4;AN;L
3 M;(NU) RADIO/RADAR FUNCTION;25;FC; ; ;CURRENT / CURRENT;1471/001;2;A;L
4 M;(NU) LOWER RADIO FREQUENCY LIMIT;28;LOWFRQ;F;A;CURRENT / CURRENT;2383/005;3-11;ANS;R
;(NU) LOWER FREQUENCY PULSES PER SECOND;null;LOWFRQ;P;B;CURRENT / CURRENT;2493/002;4-11;ANS;R
5 M;(NU) UPPER RADIO FREQUENCY LIMIT;42;UPFRQ;F;A;CURRENT / CURRENT;2383/006;3-11;ANS;R
;(NU) UPPER FREQUENCY PULSES PER SECOND;null;UPFRQ;P;B;CURRENT / CURRENT;2493/003;4-11;ANS;R
6 O;(NU) ELECTRONIC ATTACK (EA) TECHNIQUE;56;EA-TECQ; ; ;CURRENT / CURRENT;1643/003;6-9;A;L
