FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) MISSION NUMBER;1;MSNNO; ; ;CURRENT / CURRENT;1012/069;1-8;X;L
2 M;(NU) CALL SIGN, ABBREVIATED;10;ACSIGN; ; ;CURRENT / CURRENT;1129/034;1-12;X;L
3 M;(NU) NUMBER OF AIRCRAFT, 1-99;23;NO; ; ;CURRENT / CURRENT;1044/322;1-2;N;R
4 M;(NU) AIRCRAFT TYPE AND MODEL;26;ACTYPE;AC;A;CURRENT / CURRENT;1015/020;2-6;AN;L
;(NU) AIRCRAFT TYPE AND MODEL, OTHER;null;ACTYPE;OT;B;CURRENT / CURRENT;1015/018;2-6;AN;L
5 M;(NU) AERIAL MISSION TYPE;36;MSNTY; ; ;CURRENT / CURRENT;1285/029;2-6;AN;L
6 M;(NU) DAY-TIME ON STATION;43;TOSTA; ; ;CURRENT / CURRENT;2000/033;7;AN;L
7 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;51;RIP;M;A;CURRENT / CURRENT;2023/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;null;RIP; ;B;CURRENT / CURRENT;2128/001;10;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;null;RIP; ;C;CURRENT / CURRENT;2086/001;13;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;null;RIP; ;D;CURRENT / CURRENT;2087/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;null;RIP; ;E;CURRENT / CURRENT;2017/001;8;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED;null;RIP; ;F;CURRENT / CURRENT;2043/001;14;ANS;L
