FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) MISSION NUMBER;1;MSNNO; ; ;CURRENT / CURRENT;1012/069;1-8;X;L
2 M;(NU) ACTIVITY TYPE;10;ACTTYP; ; ;CURRENT / CURRENT;1299/001;1-8;A;L
3 M;(NU) ACTIVITY LOCATION, LAT/LONG, SECONDS;19;ACTLOC; ;A;CURRENT / CURRENT;2024/029;15;AN;L
;(NU) ACTIVITY LOCATION, UTM 10-METRE;null;ACTLOC; ;B;CURRENT / CURRENT;2086/041;13;AN;L
;(NU) ACTIVITY LOCATION, LAT/LONG, MINUTES;null;ACTLOC; ;C;CURRENT / CURRENT;2023/045;11;AN;L
;(NU) ACTIVITY LOCATION, TRUE BEARING AND DISTANCE IN NM;null;ACTLOC;T;D;CURRENT / CURRENT;2431/002;5-20;X;L
;(NU) ACTIVITY LOCATION NAME;null;ACTLOC;N;E;CURRENT / CURRENT;1022/103;1-20;X;L
;(NU) ACTIVITY LOCATION, UTM ABBREVIATED 10-METRE;null;ACTLOC; ;F;CURRENT / CURRENT;2128/002;10;AN;L
;(NU) ACTIVITY LOCATION, UTM ABBREVIATED, 100-METRE;null;ACTLOC; ;G;CURRENT / CURRENT;2126/002;8;AN;L
4 O;(NU) DAY-TIME OF ACTIVITY;42;TIME; ; ;CURRENT / CURRENT;2000/072;7;AN;L
5 O;(NU) VERIFIED ENEMY UNIT IDENTIFIER;50;ENUNIT; ; ;CURRENT / CURRENT;2102/001;2-19;X;L
