FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) MISSION NUMBER;1;MSNNO; ; ;CURRENT / CURRENT;1012/069;1-8;X;L
2 M;(NU) MISSION LOCATION TYPE;10;LOCTYP; ; ;CURRENT / CURRENT;1284/004;2-6;A;L
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;17;LOCN;S;A;CURRENT / CURRENT;2024/001;15;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;null;LOCN;M;B;CURRENT / CURRENT;2023/001;11;AN;L
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);null;LOCN; ;C;CURRENT / CURRENT;2431/001;5-20;X;L
;(NU) MISSION LOCATION NAME;null;LOCN;N;D;CURRENT / CURRENT;1022/107;1-18;X;L
;(NU) ICAO LOCATION IDENTIFIER;null;LOCN;ID;E;CURRENT / CURRENT;1125/001;4;AN;L
;(NU) ICAO LOAD BASE;null;LOCN;LB;F;CURRENT / CURRENT;1125/003;4;AN;L
;(NU) MISSION LOCATION, ABCA TARGET NUMBER;null;LOCN;A;G;CURRENT / CURRENT;2120/002;7;AN;L
;(NU) MISSION LOCATION, THEATER TARGET ID NUMBER;null;LOCN;I;H;CURRENT / CURRENT;2121/002;10;AN;L
;(NU) MISSION LOCATION, BE NUMBER WITH SUFFIX;null;LOCN;BE;I;CURRENT / CURRENT;2122/002;13;ANS;L
;(NU) MISSION LOCATION, UTM 10-METRE;null;LOCN;TM;J;CURRENT / CURRENT;2086/042;13;AN;L
;(NU) MISSION LOCATION, UTM 100-METRE;null;LOCN;HM;K;CURRENT / CURRENT;2087/041;11;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;LOCN;CM;L;CURRENT / CURRENT;2018/001;12;AN;L
4 O;(NU) ALTITUDE IN HUNDREDS OF FEET;38;ALTITUDE; ;A;CURRENT / CURRENT;1255/001;3;N;R
;(NU) FLIGHT LEVEL;null;ALTITUDE; ;B;CURRENT / CURRENT;2129/001;5;AN;L
5 O;(NU) MISSION LOCATION COMMENT;47;CMNT; ; ;CURRENT / CURRENT;1357/008;1-22;X;L
