FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) MISSION NUMBER;1;MSNNO; ; ;CURRENT / CURRENT;1012/069;1-8;X;L
2 M;(NU) WMO SIGNIFICANT PRESENT AND FORECAST WEATHER CODES;10;WEATHER;WMO;A;CURRENT / CURRENT;1386/007;2-6;A;L
;(NU) MOST SIGNIFICANT WEATHER CODE;null;WEATHER; ;B;CURRENT / CURRENT;1386/008;1-3;A;L
3 O;(NU) VISIBILITY;21;VIS; ; ;CURRENT / CURRENT;2059/015;2-7;ANS;L
4 O;(NU) CLOUD BASE ALTITUDE IN HUNDREDS OF FEET;29;BASE; ; ;CURRENT / CURRENT;1255/006;1-3;N;R
5 O;(NU) WIND DIRECTION IN DEGREES TRUE, GRID OR MAGNETIC;34;WD; ;A;CURRENT / CURRENT;2130/001;4;AN;L
;(NU) WIND DIRECTION QUALIFIER;null;WD; ;B;CURRENT / CURRENT;1130/005;3;AN;L
6 O;(NU) AVERAGE WIND SPEED;39;WNDSPD; ; ;CURRENT / CURRENT;2063/005;4-7;ANS;L
7 O;(NU) PEAK GUSTS;47;PK-GUST; ; ;CURRENT / CURRENT;2063/006;4-7;ANS;L
8 O;(NU) SEA STATE;55;SS; ; ;CURRENT / CURRENT;1392/001;1;N;R
9 O;(NU) WEATHER COMMENTS;58;CMNT; ; ;CURRENT / CURRENT;1357/012;1-10;X;L
