FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TOWLINE IDENTIFIER; ; ;CURRENT / CURRENT;1012/119;1-20;X
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;MINS;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) CODE NAME OF START POSITION;NAME;B;CURRENT / CURRENT;1022/133;1-20;X
;(NU) START POSITION, BEARING AND DISTANCE IN NM FROM REF PT; ;C;CURRENT / CURRENT;2307/010;10-27;ANBS
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;MINS;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) CODE NAME OF STOP POSITION;NAME;B;CURRENT / CURRENT;1022/134;1-20;X
;(NU) STOP POSITION, BEARING AND DISTANCE IN NM FROM REF PT; ;C;CURRENT / CURRENT;2307/006;10-27;ANBS
4 M;(NU) ALTITUDE IN HUNDREDS OF FEET;ALT;A;CURRENT / CURRENT;1255/001;3;N
;(NU) FLIGHT LEVEL NUMBER;FL;B;CURRENT / CURRENT;1012/042;3;N
5 M;(NU) PRIMARY FREQUENCY; ; ;CURRENT / CURRENT;2064/003;3-14;ANS
6 M;(NU) PRIMARY COMMUNICATIONS NET DESIGNATOR; ; ;CURRENT / CURRENT;1305/006;1-10;X
7 M;(NU) MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER; ; ;CURRENT / CURRENT;2080/002;3-5;AN
* 8 M;(NU) ALTERNATE FREQUENCY; ; ;CURRENT / CURRENT;2064/013;3-14;ANS
* 9 M;(NU) ALTERNATE COMMUNICATIONS NET DESIGNATOR; ; ;CURRENT / CURRENT;1305/008;1-10;X
* 10 M;(NU) MARITIME COMMUNICATIONS ALTERNATE CHANNEL NUMBER; ; ;CURRENT / CURRENT;2080/003;3-5;AN
