FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) UNIT; ;A;CURRENT / CURRENT;1022/057;1-30;X
;(NU) ICAO BASE CODE;ICAO;B;CURRENT / CURRENT;1125/002;4;AN
;(NU) BASE NAME;BASE;C;CURRENT / CURRENT;1022/104;1-20;X
* 2 M;(NU) AIRCRAFT CODE; ; ;CURRENT / CURRENT;1015/002;2-6;AN
* 3 M;(NU) NUMBER OF AIRCRAFT, 1-99; ; ;CURRENT / CURRENT;1044/143;1-2;N
* 4 M;(NU) ALERT STATUS; ; ;CURRENT / CURRENT;2161/002;3-7;ANS
* 5 M;(NU) DAY-TIME START; ;A;CURRENT / CURRENT;2000/014;7;AN
;(NU) DAY-TIME AND MONTH OF START; ;B;CURRENT / CURRENT;2030/003;10;AN
;(NU) DTG OF START; ;C;CURRENT / CURRENT;2033/029;14;AN
* 6 M;(NU) DAY-TIME STOP; ;A;CURRENT / CURRENT;2000/015;7;AN
;(NU) DAY-TIME AND MONTH OF STOP; ;B;CURRENT / CURRENT;2030/004;10;AN
;(NU) DTG OF STOP; ;C;CURRENT / CURRENT;2033/030;14;AN
;(NU) TIME, NON-DISCRETE INDICATOR; ;D;CURRENT / CURRENT;1084/003;3-11;AB
* 7 M;(NU) AIRCRAFT WEAPON LOAD; ;A;CURRENT / CURRENT;1514/001;1-38;X
;(NU) IDENTIFIER, NON-DISCRETE INDICATOR;ID;B;CURRENT / CURRENT;1084/004;2-11;AB
* 8 M;(NU) CALL SIGN; ; ;CURRENT / CURRENT;1129/001;1-38;X
