FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) COMMUNICATION LINE ACCESS; ; ;CURRENT / CURRENT;1666/004;1-20;X
2 O;(NU) START POSITION, UTM 10-METRE; ;A;CURRENT / CURRENT;2086/062;13;AN
;(NU) START POSITION, UTM 100-METRE; ;B;CURRENT / CURRENT;2087/062;11;AN
;(NU) START POSITION, LAT/LONG, SECONDS; ;C;CURRENT / CURRENT;2024/004;15;AN
3 O;(NU) END POSITION, UTM 10-METRE; ;A;CURRENT / CURRENT;2086/063;13;AN
;(NU) END POSITION, UTM 100-METRE; ;B;CURRENT / CURRENT;2087/063;11;AN
;(NU) END POSITION, LAT/LONG, SECONDS; ;C;CURRENT / CURRENT;2024/032;15;AN
4 O;(NU) DIRECTION OF APPROACH, DEGREES TRUE, GRID OR MAGNETIC; ; ;CURRENT / CURRENT;2065/019;4;AN
5 O;(NU) RECOMMENDATION OF APPROACH; ; ;CURRENT / CURRENT;1027/048;2-3;A
* 6 O;(NU) KEYPOINT DESCRIPTION; ; ;CURRENT / CURRENT;1363/039;1-30;X
* 7 O;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;A;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;B;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C;CURRENT / CURRENT;2024/001;15;AN
* 8 O;(NU) OPERATIONAL STATUS OF KEY POINT; ; ;CURRENT / CURRENT;1236/026;3-7;A
* 9 C;(NU) CAUSE OF DAMAGE/STATUS DEGRADE; ; ;CURRENT / CURRENT;1235/003;2-5;A
