FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ACOUSTIC DETECTION MODE; ; ;CURRENT / CURRENT;1442/001;3;A
2 M;(NU) DAY-TIME OF DETECTION, VERIFIED; ;A;CURRENT / CURRENT;2013/015;8;AN
;(NU) DAY-TIME OF DETECTION; ;B;CURRENT / CURRENT;2000/027;7;AN
3 M;(NU) ACOUSTIC DETECTION TYPE; ; ;CURRENT / CURRENT;1443/001;2-4;A
4 M;(NU) FREQUENCY DETECTED; ; ;CURRENT / CURRENT;2479/002;3-10;ANS
5 M;(NU) IDENTIFIER OF THE SONOBUOY IN PATTERN GAINING CONTACT; ; ;CURRENT / CURRENT;1012/291;1-4;N
6 M;(NU) HYDROPHONE DEPTH, FEET OR METRES, DECIMAL PERMITTED; ; ;CURRENT / CURRENT;2264/002;2-7;ANS
7 M;(NU) ASW DISPLAY MODE; ; ;CURRENT / CURRENT;1446/001;3;A
8 M;(NU) INTEGRATION TIME RESOLUTION SETTING; ; ;CURRENT / CURRENT;1447/001;1-2;AN
9 M;(NU) PROCESSOR RESOLUTION SETTING; ; ;CURRENT / CURRENT;1448/001;3;AN
10 M;(NU) PROCESSOR INTEGRATION TIME SINCE DETECTION IN MINUTES; ; ;CURRENT / CURRENT;1072/002;1-3;NS
