FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) AIRCRAFT TYPE;TYPE;A;CURRENT / CURRENT;1015/001;2-10;X
;(NU) AIRCRAFT ROLE; ;B;CURRENT / CURRENT;1010/006;3;A
2 M;(NU) DAY-TIME OF INCIDENT; ; ;CURRENT / CURRENT;2000/025;7;AN
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) LOCATION, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/020;13;AN
;(NU) INCIDENT POSITION, LAT/LONG, MINUTES; ;C;CURRENT / CURRENT;2023/018;11;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;D;CURRENT / CURRENT;2017/001;8;AN
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT;T;E;CURRENT / CURRENT;2016/001;6-46;X
;(NU) LOCATION OR POSITION NAME;N;F;CURRENT / CURRENT;1022/006;1-15;X
;(NU) ACTIVITY LOCATION, UTM ABBREVIATED, 100-METRE;HM;G;CURRENT / CURRENT;2126/002;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;H;CURRENT / CURRENT;2018/001;12;AN
4 O;(NU) LOCATION QUALIFIER; ; ;CURRENT / CURRENT;1118/001;2;A
5 O;(NU) ALTITUDE IN HUNDREDS OF FEET; ; ;CURRENT / CURRENT;1255/001;3;N
6 O;(NU) AIRCRAFT CALL SIGN; ; ;CURRENT / CURRENT;1129/009;1-38;X
7 O;(NU) COLOUR; ; ;CURRENT / CURRENT;1138/001;3-6;A
8 O;(NU) CAMOUFLAGE INDICATOR;CAM; ;CURRENT / CURRENT;1402/001;3;A
9 O;(NU) AIRCRAFT TAIL LETTERS AND SIDE NUMBER; ; ;CURRENT / CURRENT;1012/097;2-8;AN
10 O;(NU) CAUSE OF AIRCRAFT LOSS; ; ;CURRENT / CURRENT;1374/001;3-11;AS
11 O;(NU) COUNT OF PERSONNEL ON BOARD;POB; ;CURRENT / CURRENT;1044/132;1-3;AN
12 C;(NU) DATA QUALIFIER;QLF; ;CURRENT / CURRENT;1130/002;3;A
* 13 O;(NU) PERSONNEL COUNT; ; ;CURRENT / CURRENT;1044/133;1-3;AN
* 14 C;(NU) DOWNED AIRCRAFT CREW STATUS; ; ;CURRENT / CURRENT;1376/001;3-4;A
