FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) COUNTRY; ; ;CURRENT / CURRENT;1026/018;2;A
2 M;(NU) POST CODE; ; ;CURRENT / CURRENT;1610/002;1-30;X
3 M;(NU) ADDRESS PLACE NAME; ; ;CURRENT / CURRENT;1022/244;1-54;X
4 M;(NU) STREET NAME; ; ;CURRENT / CURRENT;1022/246;1-54;X
5 M;(NU) STREET NUMBER; ; ;CURRENT / CURRENT;1012/263;1-15;X
6 O;(NU) POST OFFICE BOX NUMBER; ; ;CURRENT / CURRENT;1012/310;1-30;X
* 7 M;(NU) TELEPHONE NUMBER, INDIVIDUAL;TEL; ;CURRENT / CURRENT;1361/009;1-23;X
* 8 O;(NU) FAX NUMBER;FAX; ;CURRENT / CURRENT;1361/010;1-23;X
* 9 O;(NU) E-MAIL ADDRESS, (30 CHARACTERS ); ; ;CURRENT / CURRENT;1183/008;1-30;ANS
* 10 O;(NU) REMARKS; ; ;CURRENT / CURRENT;1357/028;1-68;X
