FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TARGET CATEGORY CODE; ; ;CURRENT / CURRENT;1309/002;2;N
2 M;(NU) TARGET CATEGORY DESIGNATOR; ; ;CURRENT / CURRENT;1309/004;5-29;ABS
3 M;(NU) TARGET ELEMENT DESCRIPTION; ;A;CURRENT / CURRENT;1363/007;1-20;X
;(NU) EQUIPMENT TYPE;EQPT;B;CURRENT / CURRENT;1135/001;1-20;X
4 M;(NU) NUMBER OF TARGET ELEMENTS; ; ;CURRENT / CURRENT;1044/083;1-4;N
5 O;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
6 M;(NU) TARGET POSITION, LAT/LONG, SECONDS; ;A;CURRENT / CURRENT;2024/026;15;AN
;(NU) TARGET POSITION, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/043;11;AN
;(NU) TARGET POSITION, UTM 100-METRE;HM;C;CURRENT / CURRENT;2087/024;11;AN
;(NU) TARGET POSITION, UTM 1,000-METRE; ;D;CURRENT / CURRENT;2088/024;9;AN
;(NU) TARGET POSITION, TRUE BEARING AND DISTANCE IN NM;T;E;CURRENT / CURRENT;2016/031;6-46;X
;(NU) ACTIVITY LOCATION NAME;N;F;CURRENT / CURRENT;1022/103;1-20;X
7 M;(NU) TARGET ACTIVITY DESCRIPTION; ; ;CURRENT / CURRENT;1299/015;1-20;AB
8 M;(NU) DAY-TIME OF POSITION; ;A;CURRENT / CURRENT;2000/018;7;AN
;(NU) DAY-TIME OF POSITION, VERIFIED; ;B;CURRENT / CURRENT;2013/007;8;AN
9 O;(NU) TARGET COURSE IN DEGREES; ;A;CURRENT / CURRENT;2065/014;4;AN
;(NU) DIRECTION OF MOVEMENT (COMPASS POINT); ;B;CURRENT / CURRENT;1161/001;1-3;A
10 O;(NU) TARGET SPEED;TGTSPEED;A;CURRENT / CURRENT;2063/002;4-7;ANS
;(NU) SPEED QUALIFIER;SPDQUAL;B;CURRENT / CURRENT;1672/001;3-4;A
