FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) AEW BARRIER DESIGNATOR; ; ;CURRENT / CURRENT;1102/005;1-2;AN
2 M;(NU) MINIMUM ALTITUDE IN HUNDREDS OF FEET; ;A;CURRENT / CURRENT;2164/004;6;AN
;(NU) MINIMUM FLIGHT LEVEL; ;B;CURRENT / CURRENT;2129/002;5;AN
3 M;(NU) MAXIMUM ALTITUDE IN HUNDREDS OF FEET; ;A;CURRENT / CURRENT;2164/005;6;AN
;(NU) MAXIMUM FLIGHT LEVEL; ;B;CURRENT / CURRENT;2129/003;5;AN
4 M;(NU) PRIMARY FREQUENCY; ;A;CURRENT / CURRENT;2064/003;3-14;ANS
;(NU) COMMUNICATIONS NET DESIGNATOR;CND;B;CURRENT / CURRENT;1305/001;1-10;X
5 M;(NU) MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER; ; ;CURRENT / CURRENT;2080/002;3-5;AN
* 6 M;(NU) ALTERNATE FREQUENCY; ;A;CURRENT / CURRENT;2064/013;3-14;ANS
;(NU) COMMUNICATIONS NET DESIGNATOR;CND;B;CURRENT / CURRENT;1305/001;1-10;X
* 7 M;(NU) MARITIME COMMUNICATIONS ALTERNATE CHANNEL NUMBER; ; ;CURRENT / CURRENT;2080/003;3-5;AN
