FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) AIRCRAFT EVENT NUMBER; ;A;CURRENT / CURRENT;1012/023;3;N
;(NU) EXERCISE AIRCRAFT EVENT NUMBER; ;B;CURRENT / CURRENT;1012/024;4;AN
2 M;(NU) NUMBER OF AIRCRAFT, 00-99; ; ;CURRENT / CURRENT;1044/003;2;N
3 M;(NU) AIRCRAFT CODE; ;A;CURRENT / CURRENT;1015/002;2-6;AN
;(NU) AIRCRAFT TYPE;ACTYP;B;CURRENT / CURRENT;1015/001;2-10;X
4 M;(NU) AIRCRAFT VARIANT; ; ;CURRENT / CURRENT;1219/002;1-2;A
5 M;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
6 M;(NU) INCIDENT POSITION, LAT/LONG, MINUTES, VERIFIED; ; ;CURRENT / CURRENT;2043/014;14;ANS
7 M;(NU) DAY-TIME OF INCIDENT, VERIFIED; ;A;CURRENT / CURRENT;2013/013;8;AN
;(NU) DAY-MONTH NAME OF INCIDENT; ;B;CURRENT / CURRENT;2067/012;5;AN
8 M;(NU) STATUS OF ENEMY AIRCRAFT; ; ;CURRENT / CURRENT;1236/013;5;A
9 O;(NU) ESTIMATED DAMAGE; ; ;CURRENT / CURRENT;2094/001;4;AN
10 O;(NU) STATUS VALIDITY; ; ;CURRENT / CURRENT;1067/001;3-4;A
