FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONTACT SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/067;1-3;N
2 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
3 M;(NU) LOCATING REPORT NUMBER;LR;A;CURRENT / CURRENT;2296/001;3-4;AN
;(NU) NOT REPORTED IN FLIGHT; ;B;CURRENT / CURRENT;1449/001;4;A
4 M;(NU) AIRCRAFT TYPE/MODEL; ; ;CURRENT / CURRENT;1015/004;2-6;AN
5 M;(NU) CREDIBILITY; ; ;CURRENT / CURRENT;1461/001;3-4;A
6 M;(NU) NUMBER OF AIRCRAFT, 1-99; ; ;CURRENT / CURRENT;1044/143;1-2;N
7 M;(NU) FLAG; ; ;CURRENT / CURRENT;1026/003;2;A
8 M;(NU) CONTACT PHOTO STATUS; ; ;CURRENT / CURRENT;1450/001;3;A
9 O;(NU) AIRCRAFT CONTACT ALTITUDE IN HUNDREDS OF FEET; ;A;CURRENT / CURRENT;2164/003;6;AN
;(NU) FLIGHT LEVEL; ;B;CURRENT / CURRENT;2129/001;5;AN
