FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DROP ZONE ELEVATION IN FEET; ; ;CURRENT / CURRENT;1799/002;1-5;NS
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;GEOK;A;CURRENT / CURRENT;2496/001;19;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;B;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;AUTMT;C;CURRENT / CURRENT;2128/001;10;AN
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE;AUTMO;D;CURRENT / CURRENT;2126/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEOREFC;E;CURRENT / CURRENT;2018/001;12;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED;VGEOK;F;CURRENT / CURRENT;2201/001;22;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;G;CURRENT / CURRENT;2200/001;22;ANS
3 M;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
4 O;(NU) RUN IN HEADING IN DEGREES MAGNETIC; ; ;CURRENT / CURRENT;1804/004;3;N
5 O;(NU) DISTANCE BETWEEN LEADING EDGE AND IMPACT POINT IN METRES; ; ;CURRENT / CURRENT;1052/003;1-5;N
6 O;(NU) DROP ZONE LENGTH IN METRES; ; ;CURRENT / CURRENT;1657/009;1-4;N
7 C;(NU) DROP ZONE WIDTH IN METRES; ; ;CURRENT / CURRENT;1658/009;1-4;N
8 O;(NU) METHOD OF MARKING FRIENDLY POSITIONS; ; ;CURRENT / CURRENT;1613/002;5-6;A
9 C;(NU) COLOUR; ; ;CURRENT / CURRENT;1138/001;3-6;A
