FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NATO AIRBORNE EARLY WARNING (NAEW) ALLOTMENT PRIORITY;PRI; ;CURRENT / CURRENT;1661/001;2;N
2 M;(NU) REQUESTING AUTHORITY; ; ;CURRENT / CURRENT;1654/002;1-2;A
3 M;(NU) SERIAL NUMBER OF REQUEST; ; ;CURRENT / CURRENT;1012/068;1-3;N
4 M;(NU) MONTH NAME; ; ;CURRENT / CURRENT;1004/001;3;A
5 M;(NU) OPERATIONAL CONTROL AUTHORITY; ; ;CURRENT / CURRENT;1028/008;1-20;X
6 M;(NU) NUMBER OF AIRCRAFT, PRIMARY BASE; ; ;CURRENT / CURRENT;1044/213;1-3;N
7 M;(NU) ICAO PRIMARY BASE; ; ;CURRENT / CURRENT;1125/009;4;AN
8 O;(NU) DEPLOYMENT COMMANDER IDENTIFIER; ; ;CURRENT / CURRENT;1125/008;4;AN
9 O;(NU) DEPLOYMENT COMMANDER IDENTIFIER; ; ;CURRENT / CURRENT;1129/018;1-38;X
* 10 O;(NU) NUMBER OF AIRCRAFT, ALTERNATE BASE; ; ;CURRENT / CURRENT;1044/214;1-3;N
* 11 O;(NU) ICAO ALTERNATE BASE; ; ;CURRENT / CURRENT;1125/010;4;AN
