FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RESIDUAL MISSION INDICATOR; ; ;CURRENT / CURRENT;1084/008;1;A
2 M;(NU) MISSION NUMBER; ; ;CURRENT / CURRENT;1012/069;1-8;X
3 O;(NU) AIRLIFT MISSION NUMBER;AMC;A;CURRENT / CURRENT;1012/241;1-12;AN
;(NU) AIRCRAFT EVENT NUMBER;EVT;B;CURRENT / CURRENT;1012/023;3;N
4 M;(NU) PACKAGE IDENTIFICATION; ; ;CURRENT / CURRENT;1028/038;1-5;ANS
5 O;(NU) MISSION COMMANDER DESIGNATOR; ; ;CURRENT / CURRENT;1515/005;2;A
6 M;(NU) PRIMARY AERIAL MISSION TYPE; ; ;CURRENT / CURRENT;1285/031;2-6;AN
7 O;(NU) SECONDARY AERIAL MISSION TYPE; ; ;CURRENT / CURRENT;1285/032;2-6;AN
8 C;(NU) AIR ALERT STATUS; ; ;CURRENT / CURRENT;1798/002;2-3;AN
9 O;(NU) ICAO BASE CODE;DEPLOC;A;CURRENT / CURRENT;1125/002;4;AN
;(NU) PLACE NAME;DEPNAME;B;CURRENT / CURRENT;1022/170;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;DEPLATM;C;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;DEPUTMO;D;CURRENT / CURRENT;2087/001;11;AN
10 O;(NU) DAY-TIME AND MONTH OF DEPARTURE; ; ;CURRENT / CURRENT;2030/006;10;AN
* 11 C;(NU) ICAO BASE CODE;ARRLOC;A;CURRENT / CURRENT;1125/002;4;AN
;(NU) PLACE NAME;ARRNAME;B;CURRENT / CURRENT;1022/170;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;ARRLATM;C;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;ARRUTMO;D;CURRENT / CURRENT;2087/001;11;AN
* 12 O;(NU) DAY-TIME AND MONTH OF RECOVERY; ; ;CURRENT / CURRENT;2030/056;10;AN
