FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME AND MONTH OF START; ; ;CURRENT / CURRENT;2030/003;10;AN
2 M;(NU) DAY-TIME AND MONTH OF STOP; ; ;CURRENT / CURRENT;2030/004;10;AN
3 O;(NU) LOCATION NAME; ; ;CURRENT / CURRENT;1022/004;1-20;X
4 O;(NU) ALTITUDE IN HUNDREDS OF FEET, 0-999; ; ;CURRENT / CURRENT;1255/014;1-3;N
5 O;(NU) MISSION PRIORITY, LITERAL; ; ;CURRENT / CURRENT;1076/012;1-3;AN
6 O;(NU) RADIUS, IN, FT, YD, KF, SM, NM, MM, CM, M, KM, HM;CIRC;A;CURRENT / CURRENT;2490/001;2-6;AN
;(NU) ELLIPTICAL AREA, DIMENSIONS AND MAJOR AXIS ORIENTATION;ELL;B;CURRENT / CURRENT;2494/001;11-21;ANS
;(NU) SECTOR GEOMETRY WITH OUTER RANGE;SECTO;C;CURRENT / CURRENT;2526/001;9-13;AN
;(NU) SECTOR GEOMETRY WITH INNER AND OUTER RANGE;SECTIO;D;CURRENT / CURRENT;2527/001;11-18;ANS
* 7 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;VLATS;B;CURRENT / CURRENT;2044/001;18;ANS
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;BAR;C;CURRENT / CURRENT;2281/001;7-28;X
;(NU) POSITION OR POINT NAME;NAME;D;CURRENT / CURRENT;1022/018;1-20;X
