FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TIMING REFERENCE POINT (TRP) DESIGNATOR; ; ;CURRENT / CURRENT;1796/002;1-3;AN
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;GEOK;A;CURRENT / CURRENT;2496/001;19;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;B;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;VLATS;C;CURRENT / CURRENT;2044/001;18;ANS
;(NU) LOCATION NAME;NAME;D;CURRENT / CURRENT;1022/004;1-20;X
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE;UTM;E;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;F;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;GEOREFM;G;CURRENT / CURRENT;2017/001;8;AN
3 O;(NU) TIME REFERENCE POINT (TRP) DESCRIPTION; ; ;CURRENT / CURRENT;1363/047;1-20;X
4 O;(NU) PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;CURRENT / CURRENT;1068/013;1-8;NS
;(NU) PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;CURRENT / CURRENT;1396/002;1-8;AN
5 O;(NU) SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;CURRENT / CURRENT;1068/014;1-8;NS
;(NU) SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;CURRENT / CURRENT;1396/003;1-8;AN
