FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) AREA NAME; ; ;CURRENT / CURRENT;1022/069;1-38;X
* 2 C;(NU) POSITION OR POINT NAME;NAME;A;CURRENT / CURRENT;1022/018;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;B;CURRENT / CURRENT;2022/001;7;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;C;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;D;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;E;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;F;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;G;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;H;CURRENT / CURRENT;2018/001;12;AN
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;I;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;UTM100;J;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;K;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE;UTM1;L;CURRENT / CURRENT;2089/001;15;AN
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;BRGRNG;M;CURRENT / CURRENT;2281/001;7-28;X
;(NU) Q-ROUTE POSITION;QPOSIT;N;CURRENT / CURRENT;2203/001;7-13;ANS
