FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) POSITION OR POINT NAME;NAME;A;CURRENT / CURRENT;1022/018;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES;DEG;B;CURRENT / CURRENT;2022/001;7;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;MINS;C;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;SECS;D;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;E;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;F;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;G;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;H;CURRENT / CURRENT;2018/001;12;AN
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE;UTM1000;I;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;UTM100;J;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;UTM10;K;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE;UTM1;L;CURRENT / CURRENT;2089/001;15;AN
;(NU) BEARING AND DISTANCE FROM REFERENCE POINT;REFPT;M;CURRENT / CURRENT;2157/001;9-54;ANBS
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT;TRUE;N;CURRENT / CURRENT;2016/001;6-46;X
;(NU) Q-ROUTE POSITION;QPOSN;O;CURRENT / CURRENT;2203/001;7-13;ANS
